Column1;Column2;Column3;Column4;Column5;Column6
01/01/2002;1148,08;478,86;427,42;297,38;211,3
02/01/2002;1154,67;483,1;427,14;298,45;211,01
03/01/2002;1165,27;501,64;423,83;297,14;210,05
04/01/2002;1172,51;503,57;422,7;299,79;211,43
07/01/2002;1164,89;502,26;421,2;294,01;210,65
08/01/2002;1160,71;508,23;420,07;291,79;209,76
09/01/2002;1155,14;511,39;419,43;290,18;208,23
10/01/2002;1156,55;513,31;425,38;289,47;207,96
11/01/2002;1145,6;506,84;426,02;283,79;204,06
14/01/2002;1138,41;504,24;425,64;282,47;203
15/01/2002;1146,19;512,26;424,42;281,41;206,81
16/01/2002;1127,57;498,11;423,51;273,67;201,92
17/01/2002;1138,88;515,51;422,76;278,07;202,35
18/01/2002;1127,58;491,42;419,49;279,52;200,98
21/01/2002;1127,58;491,42;419,49;279,52;200,98
22/01/2002;1119,31;478,35;425,8;279,2;199,71
23/01/2002;1128,19;483,68;429,38;275,68;205,01
24/01/2002;1132,16;492;423,22;278,1;206,84
25/01/2002;1133,28;483,46;420,98;283,06;208,35
28/01/2002;1133,06;484,23;419,22;281,87;207,04
29/01/2002;1100,64;470,55;414,25;268,58;201,85
30/01/2002;1113,57;472,11;417,99;272,38;204,17
31/01/2002;1130,21;480,39;421,65;276,49;207,27
01/02/2002;1122,2;472,29;422,61;276,55;208,12
04/02/2002;1094,44;459,32;413,97;263,14;204,22
05/02/2002;1090,02;456,19;416,87;261,98;203,22
06/02/2002;1083,51;449,8;411,4;266,6;205,55
07/02/2002;1080,17;445,37;408,12;268,47;202,2
08/02/2002;1096,22;454,55;413,91;270,81;202,72
11/02/2002;1111,94;457,89;418,13;276,61;205,32
12/02/2002;1107,5;452,84;422,24;274,26;204,01
13/02/2002;1118,51;461,54;423,82;277,02;205,12
14/02/2002;1116,48;462,36;420,77;275,52;206,33
15/02/2002;1104,18;448,19;422,1;273,64;206,84
18/02/2002;1104,18;448,19;422,1;273,64;206,84
19/02/2002;1083,34;435,16;416,66;269,75;204,74
20/02/2002;1097,98;440,98;425,18;276,05;204,78
21/02/2002;1080,95;426,99;421,03;275,76;206,39
22/02/2002;1089,84;426,75;426,35;278,52;212,74
25/02/2002;1109,44;438,87;425,08;286,05;215,24
26/02/2002;1109,38;439,52;425,02;285;214,14
27/02/2002;1109,89;436,52;427,37;286,13;214,54
28/02/2002;1106,73;435;427,29;284,32;215,44
01/03/2002;1131,78;451,7;435,05;290,77;218,68
04/03/2002;1153,84;455,3;436,48;299,37;221,78
05/03/2002;1146,14;455,92;428,2;296,31;221,19
06/03/2002;1162,77;460,95;434,85;304,38;225,39
07/03/2002;1157,54;455,26;433,87;301,11;225,38
08/03/2002;1164,31;464,48;430,14;301,2;224,19
11/03/2002;1168,26;470,57;430,88;304,76;227,46
12/03/2002;1165,58;460,39;432,42;303,73;229,73
13/03/2002;1154,09;453,42;435,58;298,27;227,17
14/03/2002;1153,04;446,55;435,18;299,41;226,92
15/03/2002;1166,16;448,41;439,24;298,89;229,09
18/03/2002;1165,55;449,22;436,45;298,03;230,48
19/03/2002;1170,29;452,66;436,83;299,53;231,51
20/03/2002;1151,85;436,3;424,88;294,19;229,19
21/03/2002;1153,59;447,08;426,74;287,36;229,45
22/03/2002;1148,7;440,37;427,7;287,82;226,45
25/03/2002;1131,87;430,27;422,47;281,88;224,14
26/03/2002;1138,49;429,6;422,32;283,8;226,83
27/03/2002;1144,58;432,25;421,71;286,14;230,05
28/03/2002;1147,39;439,48;421,61;285,88;229,74
29/03/2002;1147,39;439,48;421,61;285,88;229,74
01/04/2002;1146,55;440,43;423,7;285,42;230,43
02/04/2002;1136,77;417,45;419,95;284,43;232,72
03/04/2002;1125,4;410,39;418,2;280,49;228,87
04/04/2002;1126,34;406,95;407,61;284,02;224,75
05/04/2002;1122,73;402,63;402,7;284,73;222,25
08/04/2002;1125,29;411,16;402,93;284,76;225,15
09/04/2002;1117,8;396,64;400,98;283,79;222,52
10/04/2002;1130,46;400,55;407,19;289,26;224,83
11/04/2002;1103,69;386,51;401,48;274,85;221,85
12/04/2002;1111,01;398,82;403,68;274,68;215,17
15/04/2002;1102,55;395,33;404,64;267,13;218,78
16/04/2002;1128,37;411,46;409,5;273,93;222,45
17/04/2002;1126,07;400,8;401,4;273,29;223,98
18/04/2002;1124,47;399,41;408,45;272,02;224,9
19/04/2002;1125,17;404,53;406,06;271,14;225,75
22/04/2002;1107,83;393,18;400,46;265,85;222,71
23/04/2002;1100,96;383,53;395,19;265,3;221,96
24/04/2002;1093,14;374,62;394,27;263,3;217,4
25/04/2002;1091,48;378,46;395,36;259,21;219,29
26/04/2002;1076,32;364,66;391,71;255,6;217,27
29/04/2002;1065,46;369,61;385,4;249,99;216,68
30/04/2002;1076,92;371,28;385,15;256,73;218,01
01/05/2002;1086,46;370,35;390,89;258,68;220,75
02/05/2002;1084,56;356,78;389,8;259,7;222,61
03/05/2002;1073,43;347,4;384,9;260,39;223,19
06/05/2002;1052,67;339,66;377,97;252,89;215,9
07/05/2002;1049,49;342,11;371,15;252,73;215,8
08/05/2002;1088,85;379,08;383,07;264,19;220,54
09/05/2002;1073,01;360,66;377,93;258,01;217,77
10/05/2002;1054,99;345,9;374,51;253,37;216,99
13/05/2002;1074,56;362,6;379,73;255,09;222,11
14/05/2002;1097,28;379,89;386,57;260,73;223,39
15/05/2002;1091,07;380,85;377,02;258,96;219,25
16/05/2002;1098,23;386;372,91;262,57;222,09
17/05/2002;1106,59;387,97;382,97;268,68;221,21
20/05/2002;1091,88;374,59;379,08;265,21;218,69
21/05/2002;1079,88;361,97;375,29;261,54;218,16
22/05/2002;1086,02;367,2;379,13;262,18;221,46
23/05/2002;1097,08;376,35;382,84;267,87;223,48
24/05/2002;1083,82;365,59;376,41;265,09;220,85
27/05/2002;1083,82;365,59;376,41;265,09;220,85
28/05/2002;1074,55;360,58;374,79;261,24;219,04
29/05/2002;1067,66;355,54;375,59;257,03;219,85
30/05/2002;1064,66;360,47;373,8;257,12;215,88
31/05/2002;1067,14;349,21;374,1;257,78;218,21
03/06/2002;1040,68;337,03;362,41;248,17;214
04/06/2002;1040,69;343,61;360,09;247,26;213,85
05/06/2002;1049,9;356,2;362,48;249,86;214,01
06/06/2002;1029,15;353,17;351,71;243,31;212,29
07/06/2002;1027,53;354,34;352,87;244,01;214,09
10/06/2002;1030,74;357,55;358,3;244,87;210,95
11/06/2002;1013,6;354,31;341,99;241,52;209,62
12/06/2002;1020,26;366,97;341,51;245,24;211,71
13/06/2002;1009,56;359,18;344,74;244,37;211,23
14/06/2002;1007,28;364,46;346,06;242,59;210,37
17/06/2002;1036,17;372,65;354,09;249,36;215,92
18/06/2002;1037,14;372,35;354;252,97;215,19
19/06/2002;1019,99;361,85;349,46;249,8;212,15
20/06/2002;1006,29;357,35;345,47;247,46;213,4
21/06/2002;989,14;344,88;331,92;242,24;211,91
24/06/2002;992,72;354,98;334,85;244,04;213,61
25/06/2002;976,14;348,31;330,34;239,25;212,42
26/06/2002;973,53;354,29;337,87;239,74;212,26
27/06/2002;990,64;359,24;346,02;244,71;215,14
28/06/2002;989,81;357,93;335,91;242,61;217,58
01/07/2002;968,65;340,24;324,36;238,64;216,45
02/07/2002;948,09;330,26;316,45;234,72;212,57
03/07/2002;953,99;342,14;316,18;233,7;212,43
04/07/2002;953,99;342,14;316,18;233,7;212,43
05/07/2002;989,03;358,3;328,69;244,96;217,48
08/07/2002;976,98;343,6;324,39;242,31;215,79
09/07/2002;952,83;343,46;308,37;237,31;212,89
10/07/2002;920,47;335,91;292,23;228,09;203,65
11/07/2002;927,37;341,08;298,39;228,72;198,77
12/07/2002;921,39;338,61;301,37;230,41;195,89
15/07/2002;917,93;340,06;295,36;227,8;190,92
16/07/2002;901,05;337,27;294,37;222,33;187,66
17/07/2002;906,04;343,35;299,88;225,15;189,97
18/07/2002;881,56;333,49;286,22;221,58;187,69
