Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
29/12/2000;493,09;615,57;449,16;570,21;415,01;539,44;954,3;256,17;691,47;324,71;433,04;858,7;466,74;282,93;502,83;572,3;100;179,03;428,2;238,23
01/01/2001;493,09;615,57;449,16;570,21;415,01;539,44;954,3;256,17;691,47;324,71;433,04;858,7;466,74;282,93;502,83;572,3;100;179,03;428,2;238,23
02/01/2001;485,97;604,41;444,03;572,3;406,3;533,89;911,46;253,32;678,4;323,98;430,26;844,1;467,88;282,98;489,62;571,22;99,46;175,62;431,01;237,25
03/01/2001;480,05;586,82;442,01;564,89;387,04;535,78;865,68;254,06;651,78;322,72;434,87;847,79;468,94;280,06;477,36;573,1;99,2;174,13;437,67;232,13
04/01/2001;489,55;594,38;458,39;559,94;404,64;525,62;938,04;262,02;623,59;306,15;420,3;897,66;462,35;289,7;498,74;575,22;99,96;179,76;436,58;235,42
05/01/2001;488,28;586,51;460,97;563,85;405,93;511,06;938,03;264,78;611,49;298,33;419,26;910,71;461,46;293,82;502,28;561,86;99,66;178,21;432,39;235,83
08/01/2001;485,59;583,45;461,94;562,99;404,51;508,8;923,13;263,81;601,39;300,42;413,91;894,34;464,18;294,77;496,89;562,86;100,47;178,89;429,94;234,1
09/01/2001;480,66;583,85;461,28;554,91;407;504,52;891,91;263,36;585,83;298,7;415,85;888,05;455,26;291,67;499,23;552,6;101;180,03;429,19;233,97
10/01/2001;478,02;586,45;459,83;540,44;402,79;496,81;884,44;257,33;593,35;297,24;414,8;896,19;447,71;292;501,45;557,63;100,58;175,4;427,2;230,53
11/01/2001;486,56;595,16;466,52;541,12;408,73;500,12;926,73;256,82;606,11;298,2;422,4;921,76;458,49;288,11;504,5;565,68;101,88;174,52;427,49;227,21
12/01/2001;492,2;612,48;468,92;539,86;420,74;494,38;957,44;255,34;595,68;296,56;418,58;970,75;462,1;288,56;524,46;558,21;102,58;176,8;422,14;224,81
15/01/2001;493,88;614,11;469,79;546,4;418,32;496,46;957,3;258,78;612,34;296,43;417,1;966,86;472,15;289,53;527,79;550,71;102,68;177,06;421,07;221,79
16/01/2001;487,08;601,13;465,22;542,01;410,55;495,41;927,88;256,79;616,08;298,47;414,8;939,65;462,55;291,5;520,92;547,02;103,09;179,12;417,52;220,67
17/01/2001;497,51;624,48;475,72;542,72;425,68;500,91;974,79;266,19;623,02;295,49;409,89;979,01;457,72;293,63;540,28;557,01;102,65;178,81;422,26;225,08
18/01/2001;495,31;619,86;476,73;535,8;426,6;491,25;973,39;268,41;611,7;291,66;408,1;984,58;451,42;294,17;538,23;557,5;102,43;179,25;415,52;226,44
19/01/2001;493,46;625,21;469,5;526,97;426,37;482,41;978,76;273,95;610,84;285,68;405,31;991,26;447,45;295,96;546,55;560,07;102,96;181,01;405,68;224,4
22/01/2001;494,56;618,55;472,92;531,3;425,01;488,54;961,64;279,45;617,75;286,84;414,44;978,14;452,41;295,84;544,03;570,21;103,03;180,35;407,14;228,16
23/01/2001;493,8;613,52;474,63;533,83;427,18;496,42;948,06;279,91;618,71;290,3;413,74;969,73;445,21;296,01;542,64;569,15;103,32;180,42;413,59;230,51
24/01/2001;497,17;618,9;475,68;529,62;425;496,02;964,29;277,99;625,37;290,57;412,86;979,69;454,71;297,6;549,37;566,67;104,71;181,32;418,45;233,24
25/01/2001;498,37;624,68;476,05;529,01;421,69;499,27;946,95;281,82;642,18;293,94;418,34;969,79;463,71;303,28;549,33;571,32;105,95;182,19;420,88;235,14
26/01/2001;496,41;626,5;472,31;532,38;410,63;502,21;929,11;282,5;649,04;299,09;417,39;967;464,98;300,87;543,73;577,05;105,74;178,83;421,1;234,82
29/01/2001;495,75;627,37;471,95;534,17;414,34;505,95;919,2;278,66;642,18;299,73;417,45;962,89;467,07;298,96;541,93;575,49;107,38;179,78;424,88;231,5
